Movimentação na conta,Duração em meses,Histórico de pagamentos,Finalidade do crédito,Valor do crédito,Saldo em conta poupança/títulos,Emprego atual desde,Comprometimento de Renda,Estado civil e sexo,Outros devedores/garantidores,Residência atual desde,Bem/Propriedade Principal,Idade em anos,Parcelamento com terceiros,Forma de Moradia,Número de créditos existentes neste banco,Emprego,Número de dependentes,Possui Telefone,Trabalhador estrangeiro,Target
n/há,12,conta critica / dividas com terceiros,negocios,1264,n/há,>= 7 anos,4,masc-solteiro,n/há,4,n/há,57,n/há,aluguel,1,empregado-semformacao-residente,1,não,sim,1
>= 200 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,1474,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,1,poupança ou seguro de vida,33,banco,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,45,conta critica / dividas com terceiros,radio ou televisao,4746,< 100 $,< 1 ano,4,masc-solteiro,n/há,2,poupança ou seguro de vida,25,n/há,própria,2,empregado-semformacao-residente,1,não,sim,2
n/há,48,conta critica / dividas com terceiros,educacao,6110,< 100 $,< 4 anos,1,masc-solteiro,n/há,3,n/há,31,banco,gratuita,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 200 $,18,pgto em dia neste banco (em aberto),radio ou televisao,2100,< 100 $,< 4 anos,4,masc-solteiro,codevedor,2,imovel,37,loja,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 200 $,10,pgto em dia neste banco (em aberto),eletrodomesticos,1225,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,37,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,9,pgto em dia neste banco (em aberto),radio ou televisao,458,< 100 $,< 4 anos,4,masc-solteiro,n/há,3,imovel,24,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,30,pgto em dia neste banco (em aberto),radio ou televisao,2333,>= 500 < 1000 $,>= 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,30,banco,própria,1,empresario-gerente-altaqualificacao,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,1158,>= 500 < 1000 $,< 4 anos,3,masc-divorciado,n/há,1,carro ou outros-quitado,26,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,18,pgto em atraso no passado,reparos,6204,< 100 $,< 4 anos,2,masc-solteiro,n/há,4,imovel,44,n/há,própria,1,empregado-semformacao-residente,2,sim,sim,1
< 0 $,30,conta critica / dividas com terceiros,carro usado,6187,>= 100 < 500 $,< 7 anos,1,masc-casadoouviuvo,n/há,4,carro ou outros-quitado,24,n/há,aluguel,2,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,48,conta critica / dividas com terceiros,carro usado,6143,< 100 $,>= 7 anos,4,femi-divorciadaoucasada,n/há,4,n/há,58,loja,gratuita,2,empregado-semformacao-residente,1,não,sim,2
n/há,11,conta critica / dividas com terceiros,carro novo,1393,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,35,n/há,própria,2,empresario-gerente-altaqualificacao,1,não,sim,1
n/há,36,pgto em dia neste banco (em aberto),radio ou televisao,2299,>= 500 < 1000 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,39,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,6,pgto em dia neste banco (em aberto),carro usado,1352,>= 500 < 1000 $,desempregado,1,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,23,n/há,aluguel,1,desempregado-semformacao-naoresidente,1,sim,sim,1
n/há,11,conta critica / dividas com terceiros,carro novo,7228,< 100 $,< 4 anos,1,masc-solteiro,n/há,4,poupança ou seguro de vida,39,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
n/há,12,pgto em dia neste banco (em aberto),radio ou televisao,2073,>= 100 < 500 $,< 4 anos,4,femi-divorciadaoucasada,codevedor,2,imovel,28,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,24,pgto em atraso no passado,moveis e equipamentos,2333,n/há,< 1 ano,4,masc-solteiro,n/há,2,poupança ou seguro de vida,29,banco,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,27,pgto em atraso no passado,carro usado,5965,< 100 $,>= 7 anos,1,masc-solteiro,n/há,2,carro ou outros-quitado,30,n/há,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,12,pgto em dia neste banco (em aberto),radio ou televisao,1262,< 100 $,< 4 anos,3,masc-solteiro,n/há,2,carro ou outros-quitado,25,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,18,pgto em dia neste banco (em aberto),carro usado,3378,n/há,< 4 anos,2,masc-solteiro,n/há,1,poupança ou seguro de vida,31,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,36,pgto em atraso no passado,carro novo,2225,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,n/há,57,banco,gratuita,2,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,6,pgto em dia neste banco (quitado),carro novo,783,n/há,< 4 anos,1,masc-solteiro,garantidor,2,imovel,26,loja,própria,1,empregado-semformacao-residente,2,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,6468,n/há,desempregado,2,masc-solteiro,n/há,1,n/há,52,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,36,conta critica / dividas com terceiros,radio ou televisao,9566,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,31,loja,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 200 $,18,pgto em dia neste banco (em aberto),carro novo,1961,< 100 $,>= 7 anos,3,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,23,n/há,própria,1,empresario-gerente-altaqualificacao,1,não,sim,1
< 0 $,36,conta critica / dividas com terceiros,moveis e equipamentos,6229,< 100 $,< 1 ano,4,femi-divorciadaoucasada,codevedor,4,n/há,23,n/há,aluguel,2,empregado-semformacao-residente,1,sim,sim,2
>= 0 < 200 $,9,pgto em dia neste banco (em aberto),negocios,1391,< 100 $,< 4 anos,2,masc-casadoouviuvo,n/há,1,imovel,27,banco,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,15,conta critica / dividas com terceiros,radio ou televisao,1537,n/há,>= 7 anos,4,masc-solteiro,garantidor,4,imovel,50,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,36,nenhum/pgto em dia,negocios,1953,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,n/há,61,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,2
>= 0 < 200 $,48,nenhum/pgto em dia,negocios,14421,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,25,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,24,pgto em dia neste banco (em aberto),radio ou televisao,3181,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,26,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,27,pgto em dia neste banco (em aberto),reparos,5190,n/há,>= 7 anos,4,masc-solteiro,n/há,4,poupança ou seguro de vida,48,n/há,própria,4,empregado-formadoouservidorpublico,2,sim,sim,1
n/há,12,pgto em dia neste banco (em aberto),radio ou televisao,2171,< 100 $,< 1 ano,2,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,29,banco,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),carro novo,1007,>= 1000 $,< 4 anos,4,masc-casadoouviuvo,n/há,1,imovel,22,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,36,pgto em dia neste banco (em aberto),educacao,1819,< 100 $,< 4 anos,4,masc-solteiro,n/há,4,n/há,37,loja,gratuita,1,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,36,pgto em dia neste banco (em aberto),radio ou televisao,2394,n/há,< 4 anos,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,25,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,36,pgto em dia neste banco (em aberto),carro usado,8133,< 100 $,< 4 anos,1,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,30,banco,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,7,conta critica / dividas com terceiros,radio ou televisao,730,n/há,>= 7 anos,4,masc-solteiro,n/há,2,poupança ou seguro de vida,46,n/há,aluguel,2,empregado-semformacao-residente,1,sim,sim,1
< 0 $,8,conta critica / dividas com terceiros,outros,1164,< 100 $,>= 7 anos,3,masc-solteiro,n/há,4,n/há,51,banco,gratuita,2,empresario-gerente-altaqualificacao,2,sim,sim,1
>= 0 < 200 $,42,conta critica / dividas com terceiros,negocios,5954,< 100 $,< 7 anos,2,femi-divorciadaoucasada,n/há,1,imovel,41,banco,própria,2,empregado-semformacao-residente,1,não,sim,1
< 0 $,36,pgto em dia neste banco (em aberto),educacao,1977,n/há,>= 7 anos,4,masc-solteiro,n/há,4,n/há,40,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,2
< 0 $,12,conta critica / dividas com terceiros,carro usado,1526,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,n/há,66,n/há,gratuita,2,empresario-gerente-altaqualificacao,1,não,sim,1
< 0 $,42,pgto em dia neste banco (em aberto),radio ou televisao,3965,< 100 $,< 1 ano,4,masc-solteiro,n/há,3,carro ou outros-quitado,34,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,11,pgto em atraso no passado,radio ou televisao,4771,< 100 $,< 7 anos,2,masc-solteiro,n/há,4,poupança ou seguro de vida,51,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,54,nenhum/pgto em dia,carro usado,9436,n/há,< 4 anos,2,masc-solteiro,n/há,2,poupança ou seguro de vida,39,n/há,própria,1,empregado-semformacao-residente,2,não,sim,1
>= 0 < 200 $,30,pgto em dia neste banco (em aberto),moveis e equipamentos,3832,< 100 $,< 1 ano,2,masc-casadoouviuvo,n/há,1,poupança ou seguro de vida,22,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,pgto em dia neste banco (em aberto),radio ou televisao,5943,n/há,< 1 ano,1,femi-divorciadaoucasada,n/há,1,carro ou outros-quitado,44,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,15,pgto em dia neste banco (em aberto),radio ou televisao,1213,>= 500 < 1000 $,>= 7 anos,4,masc-solteiro,n/há,3,poupança ou seguro de vida,47,loja,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,18,pgto em dia neste banco (em aberto),negocios,1568,>= 100 < 500 $,< 4 anos,3,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,24,n/há,aluguel,1,empregado-semformacao-residente,1,não,sim,1
< 0 $,24,pgto em dia neste banco (em aberto),outros,1755,< 100 $,>= 7 anos,4,femi-divorciadaoucasada,garantidor,4,imovel,58,n/há,própria,1,empregado-semformacao-residente,1,sim,sim,1
< 0 $,10,pgto em dia neste banco (em aberto),radio ou televisao,2315,< 100 $,>= 7 anos,3,masc-solteiro,n/há,4,imovel,52,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
n/há,12,conta critica / dividas com terceiros,negocios,1412,< 100 $,< 4 anos,4,femi-divorciadaoucasada,garantidor,2,imovel,29,n/há,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,18,conta critica / dividas com terceiros,moveis e equipamentos,1295,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,1,poupança ou seguro de vida,27,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,36,pgto em dia neste banco (em aberto),educacao,12612,>= 100 < 500 $,< 4 anos,1,masc-solteiro,n/há,4,n/há,47,n/há,gratuita,1,empregado-formadoouservidorpublico,2,sim,sim,2
< 0 $,18,pgto em dia neste banco (em aberto),carro novo,2249,>= 100 < 500 $,< 7 anos,4,masc-solteiro,n/há,3,carro ou outros-quitado,30,n/há,própria,1,empresario-gerente-altaqualificacao,2,sim,sim,1
< 0 $,12,nenhum/pgto em dia,reparos,1108,< 100 $,< 7 anos,4,masc-solteiro,n/há,3,imovel,28,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
n/há,12,conta critica / dividas com terceiros,radio ou televisao,618,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,imovel,56,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,12,conta critica / dividas com terceiros,carro usado,1409,< 100 $,>= 7 anos,4,masc-solteiro,n/há,3,imovel,54,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,12,conta critica / dividas com terceiros,radio ou televisao,797,n/há,>= 7 anos,4,femi-divorciadaoucasada,n/há,3,poupança ou seguro de vida,33,banco,própria,1,empregado-semformacao-residente,2,não,sim,2
>= 200 $,24,conta critica / dividas com terceiros,moveis e equipamentos,3617,n/há,>= 7 anos,4,masc-solteiro,codevedor,4,n/há,20,n/há,aluguel,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),carro novo,1318,>= 1000 $,>= 7 anos,4,masc-solteiro,n/há,4,imovel,54,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,54,nenhum/pgto em dia,negocios,15945,< 100 $,< 1 ano,3,masc-solteiro,n/há,4,n/há,58,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,12,conta critica / dividas com terceiros,educacao,2012,n/há,< 7 anos,4,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,61,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),negocios,2622,>= 100 < 500 $,< 4 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,34,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,36,conta critica / dividas com terceiros,radio ou televisao,2337,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,imovel,36,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,20,pgto em atraso no passado,carro usado,7057,n/há,< 7 anos,3,masc-solteiro,n/há,4,poupança ou seguro de vida,36,banco,aluguel,2,empresario-gerente-altaqualificacao,2,sim,sim,1
n/há,24,pgto em dia neste banco (em aberto),carro novo,1469,>= 100 < 500 $,>= 7 anos,4,masc-casadoouviuvo,n/há,4,imovel,41,n/há,aluguel,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,36,pgto em dia neste banco (em aberto),radio ou televisao,2323,< 100 $,< 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,24,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,6,pgto em atraso no passado,radio ou televisao,932,< 100 $,< 4 anos,3,femi-divorciadaoucasada,n/há,2,imovel,24,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,9,conta critica / dividas com terceiros,moveis e equipamentos,1919,< 100 $,< 7 anos,4,masc-solteiro,n/há,3,carro ou outros-quitado,35,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,12,pgto em dia neste banco (em aberto),carro usado,2445,n/há,< 1 ano,2,masc-casadoouviuvo,n/há,4,carro ou outros-quitado,26,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,24,conta critica / dividas com terceiros,outros,11938,< 100 $,< 4 anos,2,masc-solteiro,codevedor,3,carro ou outros-quitado,39,n/há,própria,2,empresario-gerente-altaqualificacao,2,sim,sim,2
n/há,18,pgto em dia neste banco (quitado),carro novo,6458,< 100 $,>= 7 anos,2,masc-solteiro,n/há,4,n/há,39,banco,própria,2,empresario-gerente-altaqualificacao,2,sim,sim,2
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),carro novo,6078,< 100 $,< 7 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,32,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,24,pgto em dia neste banco (em aberto),moveis e equipamentos,7721,n/há,< 1 ano,1,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,30,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,não,1
>= 0 < 200 $,14,pgto em dia neste banco (em aberto),negocios,1410,>= 500 < 1000 $,>= 7 anos,1,masc-casadoouviuvo,n/há,2,imovel,35,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,6,pgto em atraso no passado,negocios,1449,>= 100 < 500 $,>= 7 anos,1,masc-divorciado,n/há,2,carro ou outros-quitado,31,banco,própria,2,empregado-formadoouservidorpublico,2,não,sim,1
>= 200 $,15,pgto em dia neste banco (em aberto),educacao,392,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,23,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),carro novo,6260,< 100 $,< 7 anos,3,masc-solteiro,n/há,3,imovel,28,n/há,aluguel,1,empregado-semformacao-residente,1,não,sim,1
n/há,36,conta critica / dividas com terceiros,carro novo,7855,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,2,imovel,25,loja,própria,2,empregado-formadoouservidorpublico,1,sim,sim,2
< 0 $,12,pgto em dia neste banco (em aberto),radio ou televisao,1680,>= 500 < 1000 $,>= 7 anos,3,masc-casadoouviuvo,n/há,1,imovel,35,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,48,conta critica / dividas com terceiros,radio ou televisao,3578,n/há,>= 7 anos,4,masc-solteiro,n/há,1,imovel,47,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,42,pgto em dia neste banco (em aberto),radio ou televisao,7174,n/há,< 7 anos,4,femi-divorciadaoucasada,n/há,3,carro ou outros-quitado,30,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,2
< 0 $,10,conta critica / dividas com terceiros,moveis e equipamentos,2132,n/há,< 1 ano,2,femi-divorciadaoucasada,codevedor,3,imovel,27,n/há,aluguel,2,empregado-formadoouservidorpublico,1,não,não,1
< 0 $,33,conta critica / dividas com terceiros,moveis e equipamentos,4281,>= 500 < 1000 $,< 4 anos,1,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,23,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,12,conta critica / dividas com terceiros,carro novo,2366,>= 500 < 1000 $,< 7 anos,3,masc-divorciado,n/há,3,carro ou outros-quitado,36,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,21,pgto em dia neste banco (em aberto),radio ou televisao,1835,< 100 $,< 4 anos,3,femi-divorciadaoucasada,n/há,2,imovel,25,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,24,conta critica / dividas com terceiros,carro usado,3868,< 100 $,>= 7 anos,4,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,41,n/há,aluguel,2,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,12,pgto em dia neste banco (em aberto),moveis e equipamentos,1768,< 100 $,< 4 anos,3,masc-solteiro,n/há,2,imovel,24,n/há,aluguel,1,empregado-semformacao-residente,1,não,sim,1
>= 200 $,10,conta critica / dividas com terceiros,carro novo,781,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,n/há,63,n/há,gratuita,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),moveis e equipamentos,1924,n/há,< 1 ano,4,femi-divorciadaoucasada,n/há,3,imovel,27,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
